Table Name,Column Name,Error Message,TestCaseName
rskcsp_ds_ccs_deed_of_priority_curated,CCS_Deed_of_Priority_Number__c,Expected datatype 'INT64' but found 'NUMERIC' for column 'CCS_Deed_of_Priority_Number__c'.,Datatype Check
rskcsp_ds_ccs_security_case_curated,CCS_Amount_of_Upfront_Fee_Taken__c,Expected datatype 'INT64' but found 'NUMERIC' for column 'CCS_Amount_of_Upfront_Fee_Taken__c'.,Datatype Check
rskcsp_ds_ccs_security_case_curated,CCS_Amount_to_be_Recovered__c,Expected datatype 'INT64' but found 'NUMERIC' for column 'CCS_Amount_to_be_Recovered__c'.,Datatype Check
rskcsp_ds_collateral_valuation_curated,CCS_Other_Valuation__c,Expected datatype 'INT64' but found 'NUMERIC' for column 'CCS_Other_Valuation__c'.,Datatype Check
rskcsp_ds_ccs_security_case_curated,CCS_Property_Statements_Confirmed__c,Column 'CCS_Property_Statements_Confirmed__c' not found in table 'dmn01-rsksoi-bld-01-2017.dmn01_rsksoi_euwe2_rsk_csp_ds_curation.rskcsp_ds_ccs_security_case_curated'.,Datatype Check
rskcsp_ds_account_collateral_curated,CCS_Property_Owning_Partners__c,Column 'CCS_Property_Owning_Partners__c' not found in table 'dmn01-rsksoi-bld-01-2017.dmn01_rsksoi_euwe2_rsk_csp_ds_curation.rskcsp_ds_account_collateral_curated'.,Datatype Check
rskcsp_ds_ccs_security_case_curated,CCS_Property_Statements_Confirmed__c,Info: Unrecognized column name 'CCS_Property_St',Length Check
rskcsp_ds_account_collateral_curated,CCS_Property_Owning_Partners__c,Info: Unrecognized column name 'CCS_Property_Owning_Partners__c',Length Check
rskcsp_ds_ccs_deed_of_priority_curated,CCS_Deed_of_Priority_Number__c,Value '565' in column 'CCS_Deed_of_Priority_Number__c' is duplicated 2 times.,duplicates
rskcsp_ds_ccs_security_case_curated,CCS_Additional_Information__c,Value 'None' in column 'CCS_Additional_Information__c' is duplicated 5 times.,duplicates
rskcsp_ds_ccs_security_case_curated,CCS_Amount_of_Upfront_Fee_Taken__c,Value 'None' in column 'CCS_Amount_of_Upfront_Fee_Taken__c' is duplicated 5 times.,duplicates
rskcsp_ds_ccs_security_case_curated,CCS_Amount_to_be_Recovered__c,Value 'None' in column 'CCS_Amount_to_be_Recovered__c' is duplicated 5 times.,duplicates
rskcsp_ds_collateral_valuation_curated,CCS_Other_Valuation_Comments__c,Value 'None' in column 'CCS_Other_Valuation_Comments__c' is duplicated 98 times.,duplicates
rskcsp_ds_collateral_valuation_curated,CCS_Other_Valuation__c,Value 'None' in column 'CCS_Other_Valuation__c' is duplicated 99 times.,duplicates
rskcsp_ds_ccs_security_case_curated,CCS_Properties_structurally_damaged__c,Value 'None' in column 'CCS_Properties_structurally_damaged__c' is duplicated 5 times.,duplicates
rskcsp_ds_ccs_security_case_curated,CCS_Property_Statements_Confirmed__c,Info: Unrecognized column name 'CCS_Property_St',duplicates
rskcsp_ds_account_collateral_curated,CCS_Property_Owning_Partners__c,Info: Unrecognized column name 'CCS_Property_Owning_Partners__c',duplicates
rskcsp_ds_ccs_security_case_curated,CCS_Questionnaire_Status__c,Value 'Partially Complete' in column 'CCS_Questionnaire_Status__c' is duplicated 3 times.,duplicates
rskcsp_ds_ccs_security_case_curated,CCS_nCino_Moved_to_Completed_Resolved__c,Value 'None' in column 'CCS_nCino_Moved_to_Completed_Resolved__c' is duplicated 5 times.,duplicates
rskcsp_ds_collateral_valuation_curated,LLC_BI__Collateral_Type_SubType__c,Value 'None' in column 'LLC_BI__Collateral_Type_SubType__c' is duplicated 99 times.,duplicates
